question,answer,category,difficulty
공작물 책임은 어떤 경우에 인정되나요?,"민법 제758조에 따라 공작물(건물, 시설 등)의 설치·보존상의 하자로 타인에게 손해가 발생한 경우, 1차적으로 점유자가 책임을 집니다. 점유자가 손해 방지에 필요한 주의를 다했음을 입증하면 면책되고, 이 경우 소유자가 무과실책임을 집니다. 수목의 재식·관리의 하자도 동일하게 적용됩니다.",불법행위,중급
동물 점유자의 책임은 어떻게 되나요?,"민법 제759조에 따라 동물의 점유자는 그 동물이 타인에게 가한 손해를 배상할 책임이 있습니다. 다만 동물의 종류와 성질에 따라 그 보관에 상당한 주의를 다하였음을 입증하면 면책됩니다. 반려동물 산책 중 사고, 가축 탈출로 인한 피해 등에 적용되며, 점유자 외에 보관자도 같은 책임을 집니다.",불법행위,중급
명예훼손으로 인한 손해배상은 어떻게 청구하나요?,"민법 제750조의 일반 불법행위로 손해배상을 청구할 수 있고, 제751조에 따라 정신적 손해(위자료) 배상도 가능합니다. 또한 제764조에 따라 법원은 피해자의 청구에 따라 손해배상에 갈음하거나 손해배상과 함께 명예회복에 적당한 처분(정정보도 등)을 명할 수 있습니다. 형법상 명예훼손죄와는 별개로 진행 가능합니다.",불법행위,중급
태아도 불법행위에 대한 손해배상청구권을 가지나요?,"민법 제762조에 따라 태아는 손해배상청구권에 관하여는 이미 출생한 것으로 봅니다. 따라서 부모가 가해자에 의해 사망한 경우 태아도 위자료 등 손해배상을 청구할 수 있습니다. 다만 살아서 출생할 것을 정지조건으로 권리가 인정되며, 사산된 경우 소급하여 권리가 없는 것으로 처리됩니다.",불법행위,고급
과실상계는 어떻게 적용되나요?,"민법 제763조에서 준용하는 제396조에 따라 채권자(피해자)에게도 과실이 있는 경우 법원은 손해배상의 책임 및 그 금액을 정함에 있어 이를 참작해야 합니다. 과실상계는 법원이 직권으로 참작하며, 피해자의 부주의 정도에 따라 배상액이 감액됩니다. 다만 피해자에게 책임능력이 없는 경우에도 보호감독자의 과실은 참작될 수 있습니다.",불법행위,중급
교통사고에서 운행자책임은 어떻게 되나요?,"자동차손해배상보장법 제3조에 따라 자기를 위하여 자동차를 운행하는 자(운행자)는 그 운행으로 다른 사람을 사망·부상하게 한 때에는 손해배상책임을 집니다. 이는 사실상 무과실책임에 가까운 위험책임으로, 운행자는 ① 피해자가 승객이 아닌 경우 자동차의 운행·관리에 주의를 게을리하지 않았고, ② 피해자나 제3자에게 고의·과실이 있으며, ③ 자동차에 구조·기능상 결함이 없음을 모두 증명해야 면책됩니다.",불법행위,고급
직장 내 성희롱 시 사업주의 책임은 무엇인가요?,"남녀고용평등법에 따라 사업주는 성희롱 예방교육 의무, 피해자 보호 의무를 부담합니다. 사업주가 직장 내 성희롱 발생 후 피해자에게 해고 등 불리한 조치를 하면 동법 제14조 제2항 위반으로 민법 제750조의 불법행위가 성립합니다. 또한 사용자책임(제756조)이 성립하여 가해자의 성희롱 행위에 대해 사용자가 손해배상책임을 부담할 수 있습니다.",불법행위,고급
의료사고에서 의사의 과실 입증은 어떻게 하나요?,"의료사고는 전문성으로 인해 환자의 과실 입증이 어려워, 판례는 입증책임 완화 법리를 발전시켰습니다. 환자가 ① 의사의 의료행위 외에 다른 원인이 개재될 수 없다는 점, ② 일반적으로 의료과오가 없으면 일어나기 어려운 결과가 발생했다는 점을 입증하면, 의사 측에서 자신의 무과실을 증명해야 합니다. 설명의무 위반도 별개의 불법행위 요소입니다.",불법행위,고급
법인의 불법행위책임은 어떻게 인정되나요?,"민법 제35조에 따라 법인은 이사 기타 대표자가 그 직무에 관하여 타인에게 가한 손해를 배상할 책임이 있습니다. 대표자의 직무 관련성은 외형이론에 따라 객관적으로 직무행위로 보이면 인정됩니다. 대표자 본인도 함께 책임을 지며, 직무가 아닌 개인적 가해는 사용자책임(제756조) 또는 본인의 책임만 문제됩니다.",불법행위,고급
사기 피해로 인한 손해배상의 범위는 어떻게 산정되나요?,"사기로 인한 손해배상은 불법행위에 기한 청구(민법 제750조)와 계약 취소 후 부당이득반환청구(제741조)가 가능합니다. 손해의 범위는 사기가 없었다면 입지 않았을 손해(신뢰이익)를 포함하며, 위자료도 청구 가능합니다. 통상의 손해에 더해 특별손해는 가해자가 예견했거나 예견할 수 있었던 경우에 한해 인정됩니다.",불법행위,중급
제조물 책임은 일반 불법행위 책임과 어떻게 다른가요?,"제조물 책임법에 따라 제조업자는 제조물의 결함으로 생명·신체·재산에 손해를 입은 자에게 무과실책임을 집니다. 일반 불법행위(민법 제750조)와 달리 제조자의 고의·과실을 입증할 필요가 없고, 결함(설계·제조·표시상의 결함)과 인과관계만 입증하면 됩니다. 손해배상청구권은 손해와 손해배상책임자를 안 날로부터 3년, 제조물을 공급한 날로부터 10년 내에 행사해야 합니다.",불법행위,고급
법정상속의 순위는 어떻게 되나요?,"민법 제1000조에 따라 ① 1순위 직계비속(자녀, 손자녀 등), ② 2순위 직계존속(부모, 조부모 등), ③ 3순위 형제자매, ④ 4순위 4촌 이내의 방계혈족 순으로 상속인이 됩니다. 배우자는 제1003조에 따라 직계비속 또는 직계존속과 공동상속인이 되고, 이들이 없으면 단독상속인이 됩니다. 동순위가 여럿이면 최근친이 선순위입니다.",친족상속,초급
배우자의 법정상속분은 얼마인가요?,"민법 제1009조에 따라 배우자가 직계비속 또는 직계존속과 공동상속할 때에는 다른 상속인의 상속분에 5할(50%)을 가산합니다. 예를 들어 자녀 1명과 배우자가 공동상속하면 배우자 1.5, 자녀 1의 비율로 배우자는 3/5, 자녀는 2/5를 받습니다. 자녀 2명과 배우자라면 1.5:1:1 비율이 됩니다.",친족상속,중급
상속포기와 한정승인은 어떻게 다른가요?,"상속포기는 상속인의 지위를 처음부터 갖지 않은 것으로 보는 제도(민법 제1041조)로, 채무를 포함한 일체의 상속재산을 받지 않습니다. 한정승인은 상속받은 재산의 한도 내에서만 채무를 변제하는 제도(제1028조)입니다. 상속포기 시 후순위자에게 상속이 넘어가 친척까지 채무가 확산될 수 있어, 일가 중 한 명이 한정승인을 하는 것이 실무상 유리할 수 있습니다.",친족상속,중급
상속포기·한정승인은 언제까지 해야 하나요?,"민법 제1019조에 따라 상속개시 있음을 안 날로부터 3개월 내에 가정법원에 신고해야 합니다. 이 기간을 도과하면 단순승인한 것으로 의제되어 상속채무를 무한 책임으로 부담하게 됩니다. 다만 상속채무가 상속재산을 초과하는 사실을 중대한 과실 없이 3개월 내에 알지 못한 경우, 그 사실을 안 날로부터 3개월 내에 특별한정승인이 가능합니다(제1019조 제3항).",친족상속,중급
유류분이란 무엇인가요?,"유류분은 피상속인의 재산처분 자유를 제한하여 법정상속인에게 보장되는 상속재산의 최소 비율입니다(민법 제1112조). 직계비속과 배우자는 법정상속분의 1/2, 직계존속은 법정상속분의 1/3이 유류분입니다. 피상속인이 유증이나 증여로 유류분을 침해하면 유류분권리자는 부족분의 반환을 청구할 수 있습니다.",친족상속,중급
형제자매의 유류분은 인정되나요?,"2024년 4월 25일 헌법재판소(2020헌가4 등)는 피상속인 형제자매의 유류분을 규정한 민법 제1112조 제4호에 대해 단순위헌 결정을 했습니다. 이로써 형제자매는 더 이상 유류분 권리자가 아닙니다. 다만 같은 결정에서 유류분 상실사유를 규정하지 않은 부분(제1112조 제1~3호)과 기여분을 유류분에 준용하지 않은 부분(제1118조)은 헌법불합치로, 2025년 12월 31일까지 입법 개정이 예정되어 있습니다.",친족상속,고급
대습상속이란 무엇인가요?,"대습상속은 상속인이 될 직계비속 또는 형제자매가 상속개시 전에 사망하거나 결격된 경우, 그 사람의 직계비속 또는 배우자가 피대습인의 순위에 갈음하여 상속인이 되는 제도입니다(민법 제1001조, 제1003조 제2항). 예를 들어 부모보다 자녀가 먼저 사망한 경우, 그 자녀의 자녀(손자녀)가 대습상속을 받게 됩니다.",친족상속,중급
상속결격 사유는 무엇인가요?,"민법 제1004조에 따라 ① 고의로 직계존속·피상속인·배우자·상속의 선순위자나 동순위자를 살해하거나 살해하려 한 자, ② 고의로 직계존속·피상속인·배우자에게 상해를 가하여 사망에 이르게 한 자, ③ 사기·강박으로 피상속인의 유언을 방해하거나 강요한 자, ④ 피상속인의 유언서를 위조·변조·파기·은닉한 자는 상속결격자가 되어 상속인이 될 수 없습니다.",친족상속,중급
기여분이란 무엇인가요?,"민법 제1008조의2에 따라 공동상속인 중 피상속인의 재산 유지 또는 증가에 특별히 기여하거나 피상속인을 특별히 부양한 자가 있는 경우, 그 기여한 부분을 상속재산에서 분리하여 기여자에게 가산합니다. 기여분은 공동상속인 협의로 정하되, 협의가 안 되면 가정법원이 기여 시기·방법·정도와 상속재산의 액 등을 참작하여 정합니다.",친족상속,중급
특별수익자의 상속분 조정은 어떻게 이루어지나요?,"민법 제1008조에 따라 공동상속인 중 피상속인으로부터 생전증여나 유증으로 특별한 수익을 얻은 자가 있는 경우, 그 수익을 상속분 산정에서 가산(공제)합니다. 즉, 특별수익을 상속재산에 더해 전체 상속분을 계산한 후, 이미 받은 특별수익을 차감한 잔액이 실제 상속분이 됩니다. 이는 공동상속인 간 공평을 도모하는 제도입니다.",친족상속,고급
유언의 방식에는 어떤 것들이 있나요?,"민법 제1065조 이하에서 다섯 가지 방식만을 인정합니다. ① 자필증서(전문·연월일·주소·성명을 자필 작성 후 날인), ② 녹음, ③ 공정증서(공증인 참여), ④ 비밀증서, ⑤ 구수증서(질병 등 급박한 사유)입니다. 어느 하나의 요건이라도 결여하면 무효이며, 워드 등으로 작성한 자필유언은 무효라는 판례가 확립되어 있습니다.",친족상속,중급
혼인의 무효와 취소 사유는 어떻게 다른가요?,"민법 제815조의 혼인 무효 사유는 ① 당사자 간 혼인 합의가 없는 때, ② 8촌 이내 혈족 간 혼인, ③ 직계인척 또는 양부모계 혈족 간 혼인 등으로, 처음부터 효력이 없습니다. 취소 사유(제816조)는 동의 흠결, 6촌 이내 혈족·4촌 이내 인척 간 혼인, 중혼, 악질·기타 중대 사유 미고지, 사기·강박 등이며, 취소판결로 장래에 향해 무효가 됩니다.",친족상속,고급
재판상 이혼 사유는 무엇인가요?,"민법 제840조에 따라 ① 배우자의 부정한 행위, ② 배우자가 악의로 다른 일방을 유기, ③ 배우자 또는 그 직계존속의 심히 부당한 대우, ④ 자기의 직계존속이 배우자로부터 심히 부당한 대우를 받음, ⑤ 배우자의 생사가 3년 이상 분명하지 않을 때, ⑥ 기타 혼인을 계속하기 어려운 중대한 사유가 있을 때 재판상 이혼이 가능합니다.",친족상속,초급
이혼 시 재산분할청구권은 어떻게 행사하나요?,"민법 제839조의2에 따라 협의이혼한 자의 일방은 다른 일방에 대하여 재산분할을 청구할 수 있습니다(재판상 이혼에도 준용, 제843조). 분할 대상은 혼인 중 부부 쌍방의 협력으로 형성한 공동재산이며, 명의에 관계없이 실질적 기여도가 반영됩니다. 재산분할청구권은 이혼한 날로부터 2년이 경과하면 소멸합니다.",친족상속,중급
이혼 위자료와 재산분할은 어떻게 다른가요?,"위자료는 혼인 파탄에 책임 있는 배우자의 유책행위로 인한 정신적 고통에 대한 손해배상(민법 제751조, 제806조 준용)이며, 재산분할은 혼인 중 쌍방 협력으로 형성한 공동재산을 청산·분배하는 것입니다(제839조의2). 양자는 별개의 권리이므로 동시에 청구 가능하며, 대법원 2000다58804 판결은 양자를 명확히 구분합니다.",친족상속,중급
이혼 후 친권과 양육권은 어떻게 정해지나요?,"민법 제909조에 따라 협의이혼 시에는 부모 협의로 정하고, 재판상 이혼이나 협의가 안 되면 가정법원이 자녀의 복리를 기준으로 직권 결정합니다. 친권은 미성년 자녀에 대한 신분·재산상 권리·의무이며, 양육권은 동거하며 기르는 권리입니다. 통상 친권과 양육권을 함께 부여하나 분리도 가능합니다. 친권자 변경도 자녀의 4촌 이내 친족 청구로 가능합니다.",친족상속,중급
양육비 지급 의무는 어떤 경우에도 면제되지 않나요?,"부모의 자녀에 대한 양육의무는 부모의 1차적·기본적 의무로, 이혼해도 소멸하지 않습니다. 양육비를 지급하지 않으면 가정법원에 양육비 이행명령을 신청할 수 있고, 불이행 시 과태료(1천만 원 이하), 감치명령까지 가능합니다. 양육비 직접지급명령(소득세 원천공제), 양육비이행관리원의 대지급 등 강제 수단도 있습니다.",친족상속,중급
사실혼 부부도 법적 보호를 받나요?,"사실혼은 혼인신고만 없을 뿐 사회적으로 부부공동생활을 영위하는 관계입니다. 판례는 사실혼 부부에게도 ① 동거·부양·협조 의무, ② 일상가사 연대책임, ③ 사실혼 해소 시 재산분할청구권을 인정합니다. 다만 친족 관계 발생, 상속권, 자녀의 혼인 중 출생자 지위 등 신분법적 효과는 인정되지 않습니다. 사망 시 사실혼 배우자는 상속인이 될 수 없습니다.",친족상속,고급
이혼 합의 시 '향후 위자료를 청구하지 않겠다'는 각서의 효력은?,"이혼에 따른 위자료청구권은 재산권적 성질이므로 사전에 포기하는 약정도 원칙적으로 유효합니다. 다만 '어떠한 일이 있어도 이혼하지 않겠다'는 각서는 신분행위의 의사결정을 구속하는 것으로 공서양속에 반하여 무효입니다(대법원 69므18). 자녀의 양육비 청구권은 자녀의 권리이므로 부모가 처분할 수 없어, 양육비 포기 각서는 자녀에 대해서는 효력이 없습니다.",친족상속,고급
친생자관계 부존재 확인의 소는 어떤 경우에 제기하나요?,"가족관계등록부상 친생자로 기재되어 있지만 실제로 친생자가 아닌 경우, 친생자관계 부존재 확인의 소를 제기할 수 있습니다. 다만 친생추정(민법 제844조)이 미치는 자녀(혼인 중 임신·출생)에 대해서는 친생부인의 소(제846조)에 의해서만 부정할 수 있으며, 출생을 안 날로부터 2년 내에 제기해야 합니다.",친족상속,고급
입양과 친양자 입양의 차이는 무엇인가요?,일반 입양(민법 제866조 이하)은 양친자관계가 발생하면서도 친생부모와의 친자관계가 그대로 유지됩니다. 친양자 입양(제908조의2)은 친생부모와의 친자관계가 종료되고 가족관계등록부상으로도 양친의 친생자로 기재되는 강력한 효과를 가집니다. 친양자 입양은 가정법원의 허가가 필요하며 미성년자에 대해서만 가능합니다.,친족상속,고급
임차권등기명령은 어떤 경우에 신청하나요?,"주택임대차보호법 제3조의3에 따라 임대차 종료 후 보증금을 반환받지 못한 임차인은 임차주택 소재지 관할 법원에 임차권등기명령을 신청할 수 있습니다. 임차권등기가 마쳐지면 임차인은 대항력과 우선변제권을 그대로 유지하면서 이사를 갈 수 있어, 전출로 인한 권리 상실을 막을 수 있습니다.",전세사기,중급
전세사기 피해자 결정을 받으려면 어떻게 해야 하나요?,"전세사기피해자 지원 및 주거안정에 관한 특별법에 따라 국토교통부장관에게 피해자 신청을 합니다. ① 임대차계약 종료 후 보증금 미반환, ② 임대인의 변제 능력 부족, ③ 다수 피해자 발생 우려, ④ 임대인 사기 의도 의심 등의 요건이 심사되며, 결정을 받으면 경·공매 유예, 우선매수권, 공공임대 우선공급, 금융지원 등을 받을 수 있습니다.",전세사기,중급
전세보증보험(HUG) 가입 거절 사유는 무엇인가요?,"주택도시보증공사의 전세보증금반환보증은 ① 전세가율이 일정 기준(통상 공시가격의 126% 또는 90%)을 초과하는 경우, ② 선순위 채권(근저당 등)과 전세보증금의 합이 주택가액을 초과하는 경우, ③ 임대인이 신용불량자인 경우, ④ 주택유형이 가입 대상이 아닌 경우 등에 가입이 거절될 수 있습니다. 가입 가능 여부는 계약 전 사전 확인이 필수입니다.",전세사기,중급
최우선변제권이란 무엇이고 누가 받을 수 있나요?,"주택임대차보호법 제8조에 따라 소액임차인은 보증금 중 일정액에 대해 다른 담보권자보다도 최우선하여 변제받을 수 있습니다. 소액임차인의 범위와 우선변제 금액은 지역별로 시행령에서 규정하며(예: 서울 보증금 1억 6,500만 원 이하 시 5,500만 원 우선변제), 경매 신청 등기 전에 대항요건(주택 인도+전입신고)을 갖춰야 합니다.",전세사기,고급
전세권 등기와 임대차 계약의 확정일자 중 어느 것이 더 유리한가요?,"전세권은 물권으로 등기되어 별도 경매신청권을 가지며 양도·전세권 설정도 가능해 강력합니다. 그러나 임대인의 동의가 필요하고 등기비용이 듭니다. 확정일자는 임대인 동의 없이 신청 가능하고 비용이 거의 없으나, 임차인이 직접 경매를 신청할 수는 없습니다. 실무상 주택임대차에서는 대항력+확정일자로도 충분한 보호를 받을 수 있어 후자를 많이 선택합니다.",부동산물권,고급
근저당권과 저당권의 차이는 무엇인가요?,"저당권(민법 제356조)은 특정 채권을 담보하기 위해 설정되며 그 채권이 소멸하면 저당권도 소멸합니다. 근저당권(제357조)은 계속적 거래관계에서 발생할 불특정 다수의 채권을 일정한 한도(채권최고액)까지 담보하는 것으로, 개별 채권이 소멸·발생하더라도 근저당권 자체는 유지됩니다. 실무상 은행 대출 등에서 근저당권이 압도적으로 많이 사용됩니다.",부동산물권,중급
전입신고와 확정일자는 같은 날 받아야 하나요?,"대항력은 주택 인도와 전입신고를 마친 다음 날 0시부터 발생하며, 우선변제권은 대항요건과 확정일자를 모두 갖춘 시점에 발생합니다. 같은 날 모두 처리하면 가장 빠른 시점에 권리를 확보할 수 있어 안전합니다. 다만 근저당권 설정과 같은 날이라면 등기는 즉시 효력이 발생하므로 근저당이 우선할 수 있어 주의가 필요합니다.",전세사기,중급
부동산 명의신탁은 유효한가요?,"부동산실권리자명의등기에관한법률에 따라 명의신탁약정과 그에 따른 등기는 원칙적으로 무효이며, 5년 이하 징역 또는 2억 원 이하의 벌금에 처해집니다. 다만 ① 종중·배우자·종교단체 명의 신탁(조세포탈·강제집행 면탈·법령제한 회피 목적이 아닐 것), ② 신탁법상 신탁 등은 예외입니다. 매수자금을 제공한 자가 진정한 소유자로 인정될 수 있습니다.",부동산물권,고급
부동산 점유취득시효의 효력은 절대적인가요?,"민법 제245조 제1항의 점유취득시효(20년 점유)는 등기를 해야 비로소 소유권을 취득합니다. 시효 완성 후 등기 전에 진정한 소유자가 제3자에게 매도하여 이전등기를 마치면, 시효취득자는 그 제3자에게 시효취득을 주장할 수 없습니다. 다만 진정한 소유자에 대한 손해배상청구는 가능합니다. 등기부취득시효(제245조 제2항)는 등기와 점유 10년으로 완성됩니다.",부동산물권,고급
전세 계약 시 다가구주택과 다세대주택은 어떻게 다른가요?,"다세대주택은 가구별로 등기가 분리된 공동주택이고, 다가구주택은 건물 전체가 단독주택으로 등기된 한 채의 주택입니다. 다가구주택은 한 건물에 여러 임차인이 있어도 등기는 하나이므로, 선순위 임차인의 보증금 총액을 모두 합쳐 후순위 임차인이 변제받을 잔여가치를 평가해야 합니다. 다가구주택 전세 시 다른 임차인 보증금 현황 확인이 필수입니다.",전세사기,고급
